コード,日付,始値,高値,安値,引値,売買高
1001,20260813,"2,617.2","2,688.5","2,567.0","2,613.9","868,466"
1001,20260814,"2,612.5","2,668.7","2,556.5","2,609.7","938,944"
1001,20260817,"2,611.7","2,662.9","2,569.9","2,620.8","804,979"
1001,20260818,"2,613.1","2,648.9","2,532.4","2,598.0","765,981"
1001,20260819,"2,602.6","2,692.3","2,555.9","2,614.6","901,075"
1001,20260820,"2,605.7","2,666.6","2,571.8","2,614.9","833,690"
1001,20260821,"2,610.6","2,684.4","2,541.5","2,623.1","1,006,469"
2001,20260629,"4,110.8","4,261.8","4,093.9","4,233.9","1,029,645"
2001,20260630,"4,235.3","4,366.8","4,134.1","4,304.0","972,034"
2001,20260701,"4,314.1","4,423.8","4,257.3","4,388.3","852,218"
2001,20260702,"4,388.4","4,538.1","4,347.2","4,510.8","840,470"
2001,20260703,"4,542.0","4,707.0","4,520.3","4,672.0","880,460"
2001,20260706,"4,680.8","4,844.6","4,653.8","4,818.8","943,346"
2001,20260707,"4,841.4","5,009.0","4,751.2","4,947.1","897,520"
2001,20260708,"4,947.7","5,073.7","4,899.7","5,029.5","1,114,888"
2001,20260709,"5,068.5","5,258.9","5,007.5","5,201.5","704,860"
2001,20260710,"5,211.1","5,390.4","5,134.5","5,308.0","1,182,813"
2001,20260713,"5,339.2","5,543.7","5,287.4","5,490.1","794,678"
2001,20260714,"5,508.3","5,677.5","5,459.9","5,623.9","692,272"
2001,20260715,"5,644.7","5,858.3","5,571.4","5,743.9","876,042"
2001,20260716,"5,758.8","5,908.5","5,693.6","5,853.4","909,133"
2001,20260717,"5,874.7","6,075.9","5,774.9","6,019.4","984,446"
2001,20260720,"6,059.7","6,255.2","6,013.2","6,185.7","923,614"
2001,20260721,"6,204.8","6,356.7","6,135.6","6,314.0","927,742"
2001,20260722,"6,328.5","6,571.7","6,268.8","6,487.6","900,073"
2001,20260723,"6,518.5","6,697.7","6,420.9","6,632.6","999,880"
2001,20260724,"6,678.5","6,954.1","6,594.5","6,800.5","758,469"
2001,20260727,"6,820.4","7,058.3","6,733.9","6,989.9","943,771"
2001,20260728,"7,016.5","7,300.7","6,921.8","7,161.5","1,021,297"
2001,20260729,"7,177.0","7,367.6","7,043.3","7,285.7","1,157,320"
2001,20260730,"7,295.1","7,518.8","7,122.7","7,419.7","1,080,067"
2001,20260731,"7,454.6","7,673.8","7,358.7","7,577.5","970,136"
2001,20260803,"7,617.6","7,825.9","7,537.6","7,761.4","742,857"
2001,20260804,"7,789.9","7,993.9","7,679.6","7,919.0","766,328"
2001,20260805,"7,948.9","8,242.3","7,857.0","8,109.2","949,744"
2001,20260806,"8,109.7","8,357.3","8,055.8","8,279.6","890,660"
2001,20260807,"8,284.5","8,546.6","8,175.2","8,455.4","902,919"
2001,20260810,"8,488.9","8,734.9","8,413.8","8,649.0","956,856"
2001,20260811,"8,657.9","8,989.5","8,590.4","8,892.0","750,626"
2001,20260812,"8,943.2","9,203.2","8,774.8","9,110.5","866,283"
2001,20260813,"9,165.4","9,489.1","8,991.8","9,329.3","1,076,573"
2001,20260814,"9,336.1","9,638.3","9,303.1","9,577.5","924,160"
2001,20260817,"9,618.3","9,919.1","9,519.7","9,838.8","878,800"
2001,20260818,"9,863.8","10,245.4","9,726.0","10,134.0","1,055,240"
2001,20260819,"10,195.8","10,541.2","10,131.3","10,493.5","984,100"
2001,20260820,"10,529.2","10,951.8","10,386.8","10,742.5","966,536"
2001,20260821,"10,743.0","11,151.1","10,616.1","11,027.2","1,096,192"
3001,20260629,"2,098.7","2,112.3","2,084.1","2,095.7","1,277,968"
3001,20260630,"2,092.4","2,099.2","2,082.1","2,090.9","1,193,171"
3001,20260701,"2,094.7","2,110.0","2,085.3","2,102.2","1,405,133"
3001,20260702,"2,104.4","2,120.8","2,089.8","2,109.4","1,123,032"
3001,20260703,"2,109.4","2,122.2","2,092.8","2,104.3","1,266,420"
3001,20260706,"2,104.2","2,112.8","2,090.7","2,100.1","1,440,781"
3001,20260707,"2,099.8","2,106.2","2,088.6","2,092.6","1,142,787"
3001,20260708,"2,089.8","2,099.6","2,069.0","2,086.9","1,280,023"
3001,20260709,"2,090.0","2,099.0","2,069.2","2,084.0","1,042,106"
3001,20260710,"2,088.0","2,100.6","2,073.2","2,084.6","1,151,663"
3001,20260713,"2,088.2","2,110.7","2,077.3","2,094.6","1,254,375"
3001,20260714,"2,094.8","2,103.2","2,079.3","2,089.9","1,177,844"
3001,20260715,"2,093.3","2,111.8","2,082.7","2,093.8","1,388,851"
3001,20260716,"2,096.5","2,105.8","2,087.3","2,095.7","1,154,858"
3001,20260717,"2,098.0","2,115.8","2,082.5","2,105.8","1,082,690"
3001,20260720,"2,103.6","2,112.0","2,089.8","2,097.2","988,543"
3001,20260721,"2,101.3","2,105.4","2,088.1","2,095.5","988,790"
3001,20260722,"2,096.0","2,111.8","2,083.8","2,093.1","1,260,010"
3001,20260723,"2,090.4","2,103.7","2,085.5","2,094.8","1,226,145"
3001,20260724,"2,098.0","2,104.7","2,087.5","2,093.9","1,077,702"
3001,20260727,"2,096.7","2,106.0","2,081.0","2,096.6","1,330,005"
3001,20260728,"2,100.2","2,113.7","2,082.5","2,099.1","1,135,544"
3001,20260729,"2,095.3","2,106.0","2,088.7","2,100.4","1,003,260"
3001,20260730,"2,098.2","2,115.2","2,090.8","2,106.0","1,236,252"
3001,20260731,"2,104.3","2,116.8","2,095.8","2,103.2","1,310,433"
3001,20260803,"2,106.3","2,111.6","2,094.6","2,099.3","1,341,938"
3001,20260804,"2,096.4","2,105.0","2,078.0","2,093.3","1,022,359"
3001,20260805,"2,093.1","2,107.1","2,082.4","2,096.9","1,198,584"
3001,20260806,"2,092.7","2,100.7","2,074.8","2,087.7","1,368,772"
3001,20260807,"2,090.9","2,106.3","2,074.8","2,095.9","1,121,660"
3001,20260810,"2,092.5","2,105.8","2,073.2","2,086.4","1,258,273"
3001,20260811,"2,087.7","2,095.3","2,075.2","2,088.1","1,215,493"
3001,20260812,"2,084.7","2,097.2","2,065.4","2,081.0","1,083,399"
3001,20260813,"2,081.7","2,093.2","2,066.0","2,083.7","1,513,187"
3001,20260814,"2,085.3","2,093.5","2,071.2","2,083.2","1,366,656"
3001,20260817,"2,079.4","2,094.4","2,075.7","2,087.5","1,267,327"
3001,20260818,"2,089.8","2,101.8","2,084.6","2,096.8","1,279,057"
3001,20260819,"2,094.6","2,103.8","2,080.8","2,094.5","1,216,901"
3001,20260820,"2,091.9","2,097.5","2,078.6","2,088.1","1,118,185"
3001,20260821,"2,090.6","2,099.8","2,080.3","2,088.1","1,274,387"
