銘柄コード,銘柄名,日付,始値,高値,安値,終値,出来高
1001,レンジ機械,2026-08-04,2621.1,2679.4,2579.6,2634.8,1076093
1001,レンジ機械,2026-08-05,2632.5,2693.7,2571.2,2646.2,1167952
1001,レンジ機械,2026-08-06,2654.9,2696.3,2570.3,2640.7,892680
1001,レンジ機械,2026-08-07,2632.2,2689.1,2584.4,2625.4,929080
1001,レンジ機械,2026-08-10,2617.3,2698.9,2570.9,2627.2,1203657
1001,レンジ機械,2026-08-11,2617.2,2690.8,2549.2,2625.4,793119
1001,レンジ機械,2026-08-12,2635.5,2688.3,2588.8,2621.3,1017069
1001,レンジ機械,2026-08-13,2617.2,2688.5,2567.0,2613.9,868466
1001,レンジ機械,2026-08-14,2612.5,2668.7,2556.5,2609.7,938944
1001,レンジ機械,2026-08-17,2611.7,2662.9,2569.9,2620.8,804979
1001,レンジ機械,2026-08-18,2613.1,2648.9,2532.4,2598.0,765981
1001,レンジ機械,2026-08-19,2602.6,2692.3,2555.9,2614.6,901075
1001,レンジ機械,2026-08-20,2605.7,2666.6,2571.8,2614.9,833690
1001,レンジ機械,2026-08-21,2610.6,2684.4,2541.5,2623.1,1006469
1002,ボラ電子,2026-06-29,1794.4,1803.3,1734.9,1749.6,2194413
1002,ボラ電子,2026-06-30,1753.7,1802.0,1729.5,1766.5,1230612
1002,ボラ電子,2026-07-01,1770.8,1791.3,1725.3,1760.7,1448072
1002,ボラ電子,2026-07-02,1762.0,1799.5,1729.5,1761.7,1384834
1002,ボラ電子,2026-07-03,1766.3,1810.7,1736.2,1764.3,1914955
1002,ボラ電子,2026-07-06,1756.4,1769.6,1708.0,1721.1,1609236
1002,ボラ電子,2026-07-07,1718.4,1750.2,1690.5,1719.6,1468769
1002,ボラ電子,2026-07-08,1724.3,1769.1,1689.0,1727.4,1355139
1002,ボラ電子,2026-07-09,1721.4,1774.8,1693.3,1731.9,1407584
1002,ボラ電子,2026-07-10,1724.2,1748.3,1693.2,1730.1,1237645
1002,ボラ電子,2026-07-13,1728.8,1736.8,1682.6,1693.2,1880586
1002,ボラ電子,2026-07-14,1690.0,1721.7,1654.3,1690.9,1399267
1002,ボラ電子,2026-07-15,1695.5,1716.9,1654.1,1691.7,1622865
1002,ボラ電子,2026-07-16,1683.5,1727.8,1647.2,1685.6,1754144
1002,ボラ電子,2026-07-17,1691.4,1715.0,1647.8,1688.8,1578003
1002,ボラ電子,2026-07-20,1695.2,1740.4,1666.9,1724.4,1352023
1002,ボラ電子,2026-07-21,1732.1,1781.3,1701.6,1734.3,1680065
1002,ボラ電子,2026-07-22,1739.1,1780.9,1718.9,1750.5,1185622
1002,ボラ電子,2026-07-23,1752.3,1787.3,1725.0,1761.9,1425946
1002,ボラ電子,2026-07-24,1766.7,1793.6,1729.4,1767.7,1540638
1002,ボラ電子,2026-07-27,1774.0,1820.8,1762.1,1804.6,2009396
1002,ボラ電子,2026-07-28,1798.2,1826.7,1741.5,1788.5,1341506
1002,ボラ電子,2026-07-29,1788.1,1808.0,1749.4,1784.1,1215791
1002,ボラ電子,2026-07-30,1782.3,1817.4,1746.7,1792.0,1554074
1002,ボラ電子,2026-07-31,1793.7,1834.5,1765.7,1789.3,1156188
1002,ボラ電子,2026-08-03,1781.5,1794.4,1738.3,1745.9,1236009
1002,ボラ電子,2026-08-04,1753.6,1779.3,1717.0,1744.5,1220051
1002,ボラ電子,2026-08-05,1739.1,1771.9,1705.4,1745.3,1134564
1002,ボラ電子,2026-08-06,1749.6,1769.8,1709.4,1742.9,1052566
1002,ボラ電子,2026-08-07,1739.6,1776.1,1715.0,1739.1,1388979
1002,ボラ電子,2026-08-10,1735.0,1751.9,1674.4,1693.1,1571936
1002,ボラ電子,2026-08-11,1696.4,1735.4,1674.2,1706.0,1788006
1002,ボラ電子,2026-08-12,1712.4,1736.7,1683.0,1715.9,1469326
1002,ボラ電子,2026-08-13,1721.2,1747.7,1686.8,1723.7,1399959
1002,ボラ電子,2026-08-14,1719.4,1741.9,1677.3,1717.5,1227630
1002,ボラ電子,2026-08-17,1725.6,1751.2,1681.1,1697.7,1538739
1002,ボラ電子,2026-08-18,1693.8,1716.7,1654.4,1681.5,1722109
1002,ボラ電子,2026-08-19,1679.0,1709.8,1651.3,1673.6,1454551
1002,ボラ電子,2026-08-20,1676.9,1703.1,1638.4,1665.7,1535591
1002,ボラ電子,2026-08-21,1671.6,1701.8,1634.1,1662.2,1667277
1003,きわどい商事,2026-06-29,3203.6,3275.5,3143.9,3219.8,745010
1003,きわどい商事,2026-06-30,3220.7,3313.7,3210.7,3306.5,645762
1003,きわどい商事,2026-07-01,3307.4,3359.5,3240.6,3297.0,769511
1003,きわどい商事,2026-07-02,3280.8,3306.3,3191.9,3217.9,738873
1003,きわどい商事,2026-07-03,3224.8,3293.6,3163.6,3232.8,827787
1003,きわどい商事,2026-07-06,3220.1,3221.5,3124.8,3126.1,676622
1003,きわどい商事,2026-07-07,3119.5,3184.5,3048.4,3099.5,606604
1003,きわどい商事,2026-07-08,3092.8,3114.8,3002.3,3027.3,742298
1003,きわどい商事,2026-07-09,3021.6,3062.9,2942.5,3018.5,746601
1003,きわどい商事,2026-07-10,3011.1,3097.6,3005.0,3094.0,777652
1003,きわどい商事,2026-07-13,3084.5,3139.4,3005.2,3079.2,715542
1003,きわどい商事,2026-07-14,3070.7,3161.5,3057.3,3141.2,777335
1003,きわどい商事,2026-07-15,3139.6,3206.6,3076.6,3130.8,733310
1003,きわどい商事,2026-07-16,3119.2,3210.3,3108.4,3202.4,761997
1003,きわどい商事,2026-07-17,3206.2,3248.8,3131.2,3190.9,678928
1003,きわどい商事,2026-07-20,3178.8,3195.4,3079.8,3098.1,621083
1003,きわどい商事,2026-07-21,3102.3,3150.4,3033.0,3108.1,800024
1003,きわどい商事,2026-07-22,3091.9,3117.1,3016.0,3031.7,757000
1003,きわどい商事,2026-07-23,3039.2,3086.7,2985.9,3032.0,794952
1003,きわどい商事,2026-07-24,3031.8,3065.5,2945.9,2972.3,714674
1003,きわどい商事,2026-07-27,2969.7,3039.4,2916.2,2989.2,730276
1003,きわどい商事,2026-07-28,2989.9,3007.2,2901.2,2916.5,697899
1003,きわどい商事,2026-07-29,2920.9,2974.9,2858.4,2927.8,728896
1003,きわどい商事,2026-07-30,2920.9,2930.3,2827.6,2838.5,736712
1003,きわどい商事,2026-07-31,2829.1,2898.3,2799.9,2844.4,737980
1003,きわどい商事,2026-08-03,2838.4,2930.9,2827.9,2915.6,716624
1003,きわどい商事,2026-08-04,2909.0,2962.5,2842.5,2918.0,756633
1003,きわどい商事,2026-08-05,2921.0,3009.0,2903.1,2993.5,766692
1003,きわどい商事,2026-08-06,2998.2,3050.7,2950.7,2997.8,681740
1003,きわどい商事,2026-08-07,2994.0,2999.3,2906.3,2913.0,810041
1003,きわどい商事,2026-08-10,2917.1,2974.5,2844.8,2928.7,587219
1003,きわどい商事,2026-08-11,2923.2,2996.9,2896.9,2982.7,704781
1003,きわどい商事,2026-08-12,2973.7,3027.1,2918.4,2991.6,591296
1003,きわどい商事,2026-08-13,3003.3,3033.9,2917.7,2939.5,746483
1003,きわどい商事,2026-08-14,2944.5,3025.2,2909.7,2962.3,637941
1003,きわどい商事,2026-08-17,2968.5,2979.0,2880.9,2887.2,693506
1003,きわどい商事,2026-08-18,2880.6,2932.6,2836.1,2867.2,862807
1003,きわどい商事,2026-08-19,2866.2,2884.2,2773.0,2791.1,663522
1003,きわどい商事,2026-08-20,2799.9,2869.1,2752.4,2795.5,564978
1003,きわどい商事,2026-08-21,2794.3,2877.3,2785.6,2861.3,759605
2001,上昇トレンド薬品,2026-06-29,4110.8,4261.8,4093.9,4233.9,1029645
2001,上昇トレンド薬品,2026-06-30,4235.3,4366.8,4134.1,4304.0,972034
2001,上昇トレンド薬品,2026-07-01,4314.1,4423.8,4257.3,4388.3,852218
2001,上昇トレンド薬品,2026-07-02,4388.4,4538.1,4347.2,4510.8,840470
2001,上昇トレンド薬品,2026-07-03,4542.0,4707.0,4520.3,4672.0,880460
2001,上昇トレンド薬品,2026-07-06,4680.8,4844.6,4653.8,4818.8,943346
2001,上昇トレンド薬品,2026-07-07,4841.4,5009.0,4751.2,4947.1,897520
2001,上昇トレンド薬品,2026-07-08,4947.7,5073.7,4899.7,5029.5,1114888
2001,上昇トレンド薬品,2026-07-09,5068.5,5258.9,5007.5,5201.5,704860
2001,上昇トレンド薬品,2026-07-10,5211.1,5390.4,5134.5,5308.0,1182813
2001,上昇トレンド薬品,2026-07-13,5339.2,5543.7,5287.4,5490.1,794678
2001,上昇トレンド薬品,2026-07-14,5508.3,5677.5,5459.9,5623.9,692272
2001,上昇トレンド薬品,2026-07-15,5644.7,5858.3,5571.4,5743.9,876042
2001,上昇トレンド薬品,2026-07-16,5758.8,5908.5,5693.6,5853.4,909133
2001,上昇トレンド薬品,2026-07-17,5874.7,6075.9,5774.9,6019.4,984446
2001,上昇トレンド薬品,2026-07-20,6059.7,6255.2,6013.2,6185.7,923614
2001,上昇トレンド薬品,2026-07-21,6204.8,6356.7,6135.6,6314.0,927742
2001,上昇トレンド薬品,2026-07-22,6328.5,6571.7,6268.8,6487.6,900073
2001,上昇トレンド薬品,2026-07-23,6518.5,6697.7,6420.9,6632.6,999880
2001,上昇トレンド薬品,2026-07-24,6678.5,6954.1,6594.5,6800.5,758469
2001,上昇トレンド薬品,2026-07-27,6820.4,7058.3,6733.9,6989.9,943771
2001,上昇トレンド薬品,2026-07-28,7016.5,7300.7,6921.8,7161.5,1021297
2001,上昇トレンド薬品,2026-07-29,7177.0,7367.6,7043.3,7285.7,1157320
2001,上昇トレンド薬品,2026-07-30,7295.1,7518.8,7122.7,7419.7,1080067
2001,上昇トレンド薬品,2026-07-31,7454.6,7673.8,7358.7,7577.5,970136
2001,上昇トレンド薬品,2026-08-03,7617.6,7825.9,7537.6,7761.4,742857
2001,上昇トレンド薬品,2026-08-04,7789.9,7993.9,7679.6,7919.0,766328
2001,上昇トレンド薬品,2026-08-05,7948.9,8242.3,7857.0,8109.2,949744
2001,上昇トレンド薬品,2026-08-06,8109.7,8357.3,8055.8,8279.6,890660
2001,上昇トレンド薬品,2026-08-07,8284.5,8546.6,8175.2,8455.4,902919
2001,上昇トレンド薬品,2026-08-10,8488.9,8734.9,8413.8,8649.0,956856
2001,上昇トレンド薬品,2026-08-11,8657.9,8989.5,8590.4,8892.0,750626
2001,上昇トレンド薬品,2026-08-12,8943.2,9203.2,8774.8,9110.5,866283
2001,上昇トレンド薬品,2026-08-13,9165.4,9489.1,8991.8,9329.3,1076573
2001,上昇トレンド薬品,2026-08-14,9336.1,9638.3,9303.1,9577.5,924160
2001,上昇トレンド薬品,2026-08-17,9618.3,9919.1,9519.7,9838.8,878800
2001,上昇トレンド薬品,2026-08-18,9863.8,10245.4,9726.0,10134.0,1055240
2001,上昇トレンド薬品,2026-08-19,10195.8,10541.2,10131.3,10493.5,984100
2001,上昇トレンド薬品,2026-08-20,10529.2,10951.8,10386.8,10742.5,966536
2001,上昇トレンド薬品,2026-08-21,10743.0,11151.1,10616.1,11027.2,1096192
2002,下落トレンド銀行,2026-06-29,1193.6,1206.0,1150.7,1170.5,2693875
2002,下落トレンド銀行,2026-06-30,1163.0,1170.0,1131.3,1140.0,3455544
2002,下落トレンド銀行,2026-07-01,1135.7,1150.1,1101.5,1113.3,3437668
2002,下落トレンド銀行,2026-07-02,1104.7,1113.0,1067.5,1082.9,3129458
2002,下落トレンド銀行,2026-07-03,1074.3,1088.9,1035.9,1055.0,2718448
2002,下落トレンド銀行,2026-07-06,1051.3,1064.4,1012.2,1029.2,3035911
2002,下落トレンド銀行,2026-07-07,1028.6,1037.7,993.4,1001.9,2693655
2002,下落トレンド銀行,2026-07-08,996.6,1006.7,961.1,969.6,3124183
2002,下落トレンド銀行,2026-07-09,966.4,985.9,938.5,949.2,3364293
2002,下落トレンド銀行,2026-07-10,942.8,956.3,918.9,926.4,2988779
2002,下落トレンド銀行,2026-07-13,922.7,929.6,897.9,902.2,3031246
2002,下落トレンド銀行,2026-07-14,896.8,904.8,868.8,879.6,2739623
2002,下落トレンド銀行,2026-07-15,877.0,889.0,851.7,863.8,2272504
2002,下落トレンド銀行,2026-07-16,858.5,867.6,836.8,845.6,2460318
2002,下落トレンド銀行,2026-07-17,842.6,855.4,817.7,827.1,2616959
2002,下落トレンド銀行,2026-07-20,820.5,824.6,796.7,803.2,2290702
2002,下落トレンド銀行,2026-07-21,798.2,805.9,768.3,776.5,3518027
2002,下落トレンド銀行,2026-07-22,770.7,777.9,747.2,751.4,3808606
2002,下落トレンド銀行,2026-07-23,748.3,756.9,719.9,730.2,2456059
2002,下落トレンド銀行,2026-07-24,728.8,731.7,706.8,710.0,3448984
2002,下落トレンド銀行,2026-07-27,707.8,712.8,686.3,689.4,2365356
2002,下落トレンド銀行,2026-07-28,687.2,691.2,665.9,669.9,2625236
2002,下落トレンド銀行,2026-07-29,669.8,677.3,644.0,653.1,2922749
2002,下落トレンド銀行,2026-07-30,651.7,655.6,627.2,633.8,2760131
2002,下落トレンド銀行,2026-07-31,632.2,642.6,614.0,622.1,3826637
2002,下落トレンド銀行,2026-08-03,618.4,624.0,598.6,607.5,3411244
2002,下落トレンド銀行,2026-08-04,606.3,615.9,589.2,596.7,2174022
2002,下落トレンド銀行,2026-08-05,592.9,600.6,573.7,579.9,2348987
2002,下落トレンド銀行,2026-08-06,577.0,581.8,561.4,565.6,2952215
2002,下落トレンド銀行,2026-08-07,565.5,573.3,550.1,555.8,3494368
2002,下落トレンド銀行,2026-08-10,554.6,560.4,533.6,543.3,2795767
2002,下落トレンド銀行,2026-08-11,540.7,548.7,523.0,527.8,2686692
2002,下落トレンド銀行,2026-08-12,523.8,531.0,507.6,512.5,3531911
2002,下落トレンド銀行,2026-08-13,511.0,517.3,498.1,503.2,2234157
2002,下落トレンド銀行,2026-08-14,502.8,505.8,488.4,491.1,2349592
2002,下落トレンド銀行,2026-08-17,487.5,493.0,469.8,476.2,3318616
2002,下落トレンド銀行,2026-08-18,474.6,479.5,457.5,466.4,2937051
2002,下落トレンド銀行,2026-08-19,464.0,469.2,446.4,451.3,3136433
2002,下落トレンド銀行,2026-08-20,450.4,456.0,436.5,440.5,3484503
2002,下落トレンド銀行,2026-08-21,440.1,446.0,425.1,430.3,2918472
3001,静かなインフラ,2026-06-29,2098.7,2112.3,2084.1,2095.7,1277968
3001,静かなインフラ,2026-06-30,2092.4,2099.2,2082.1,2090.9,1193171
3001,静かなインフラ,2026-07-01,2094.7,2110.0,2085.3,2102.2,1405133
3001,静かなインフラ,2026-07-02,2104.4,2120.8,2089.8,2109.4,1123032
3001,静かなインフラ,2026-07-03,2109.4,2122.2,2092.8,2104.3,1266420
3001,静かなインフラ,2026-07-06,2104.2,2112.8,2090.7,2100.1,1440781
3001,静かなインフラ,2026-07-07,2099.8,2106.2,2088.6,2092.6,1142787
3001,静かなインフラ,2026-07-08,2089.8,2099.6,2069.0,2086.9,1280023
3001,静かなインフラ,2026-07-09,2090.0,2099.0,2069.2,2084.0,1042106
3001,静かなインフラ,2026-07-10,2088.0,2100.6,2073.2,2084.6,1151663
3001,静かなインフラ,2026-07-13,2088.2,2110.7,2077.3,2094.6,1254375
3001,静かなインフラ,2026-07-14,2094.8,2103.2,2079.3,2089.9,1177844
3001,静かなインフラ,2026-07-15,2093.3,2111.8,2082.7,2093.8,1388851
3001,静かなインフラ,2026-07-16,2096.5,2105.8,2087.3,2095.7,1154858
3001,静かなインフラ,2026-07-17,2098.0,2115.8,2082.5,2105.8,1082690
3001,静かなインフラ,2026-07-20,2103.6,2112.0,2089.8,2097.2,988543
3001,静かなインフラ,2026-07-21,2101.3,2105.4,2088.1,2095.5,988790
3001,静かなインフラ,2026-07-22,2096.0,2111.8,2083.8,2093.1,1260010
3001,静かなインフラ,2026-07-23,2090.4,2103.7,2085.5,2094.8,1226145
3001,静かなインフラ,2026-07-24,2098.0,2104.7,2087.5,2093.9,1077702
3001,静かなインフラ,2026-07-27,2096.7,2106.0,2081.0,2096.6,1330005
3001,静かなインフラ,2026-07-28,2100.2,2113.7,2082.5,2099.1,1135544
3001,静かなインフラ,2026-07-29,2095.3,2106.0,2088.7,2100.4,1003260
3001,静かなインフラ,2026-07-30,2098.2,2115.2,2090.8,2106.0,1236252
3001,静かなインフラ,2026-07-31,2104.3,2116.8,2095.8,2103.2,1310433
3001,静かなインフラ,2026-08-03,2106.3,2111.6,2094.6,2099.3,1341938
3001,静かなインフラ,2026-08-04,2096.4,2105.0,2078.0,2093.3,1022359
3001,静かなインフラ,2026-08-05,2093.1,2107.1,2082.4,2096.9,1198584
3001,静かなインフラ,2026-08-06,2092.7,2100.7,2074.8,2087.7,1368772
3001,静かなインフラ,2026-08-07,2090.9,2106.3,2074.8,2095.9,1121660
3001,静かなインフラ,2026-08-10,2092.5,2105.8,2073.2,2086.4,1258273
3001,静かなインフラ,2026-08-11,2087.7,2095.3,2075.2,2088.1,1215493
3001,静かなインフラ,2026-08-12,2084.7,2097.2,2065.4,2081.0,1083399
3001,静かなインフラ,2026-08-13,2081.7,2093.2,2066.0,2083.7,1513187
3001,静かなインフラ,2026-08-14,2085.3,2093.5,2071.2,2083.2,1366656
3001,静かなインフラ,2026-08-17,2079.4,2094.4,2075.7,2087.5,1267327
3001,静かなインフラ,2026-08-18,2089.8,2101.8,2084.6,2096.8,1279057
3001,静かなインフラ,2026-08-19,2094.6,2103.8,2080.8,2094.5,1216901
3001,静かなインフラ,2026-08-20,2091.9,2097.5,2078.6,2088.1,1118185
3001,静かなインフラ,2026-08-21,2090.6,2099.8,2080.3,2088.1,1274387
3002,出来高急増テック,2026-06-29,1497.4,1510.4,1482.3,1498.1,899840
3002,出来高急増テック,2026-06-30,1498.5,1504.9,1483.3,1489.9,696957
3002,出来高急増テック,2026-07-01,1494.9,1505.3,1484.4,1491.0,1075957
3002,出来高急増テック,2026-07-02,1491.5,1499.9,1477.0,1483.2,915338
3002,出来高急増テック,2026-07-03,1477.7,1483.7,1467.7,1472.4,847322
3002,出来高急増テック,2026-07-06,1467.5,1480.8,1456.1,1474.0,784053
3002,出来高急増テック,2026-07-07,1475.9,1485.5,1462.9,1476.6,1057809
3002,出来高急増テック,2026-07-08,1472.3,1487.0,1460.3,1476.3,944322
3002,出来高急増テック,2026-07-09,1470.6,1479.1,1463.7,1472.2,867831
3002,出来高急増テック,2026-07-10,1475.2,1482.0,1463.2,1470.6,863359
3002,出来高急増テック,2026-07-13,1469.4,1486.4,1459.7,1477.3,746768
3002,出来高急増テック,2026-07-14,1478.1,1489.2,1469.2,1482.0,924838
3002,出来高急増テック,2026-07-15,1482.7,1492.2,1469.9,1485.0,781636
3002,出来高急増テック,2026-07-16,1482.2,1490.0,1468.9,1475.2,1031359
3002,出来高急増テック,2026-07-17,1471.5,1477.1,1458.1,1464.8,967862
3002,出来高急増テック,2026-07-20,1461.5,1473.8,1451.4,1461.1,997925
3002,出来高急増テック,2026-07-21,1461.6,1474.1,1448.7,1456.9,770860
3002,出来高急増テック,2026-07-22,1459.4,1463.6,1448.9,1453.0,716339
3002,出来高急増テック,2026-07-23,1454.8,1462.5,1445.6,1450.3,744441
3002,出来高急増テック,2026-07-24,1445.9,1450.4,1435.8,1439.0,1047082
3002,出来高急増テック,2026-07-27,1440.0,1454.2,1433.1,1441.8,971047
3002,出来高急増テック,2026-07-28,1438.9,1449.1,1433.8,1443.2,907160
3002,出来高急増テック,2026-07-29,1446.7,1454.2,1437.1,1442.9,930915
3002,出来高急増テック,2026-07-30,1440.9,1455.4,1432.0,1443.0,790351
3002,出来高急増テック,2026-07-31,1438.2,1452.7,1428.2,1440.9,932553
3002,出来高急増テック,2026-08-03,1436.2,1448.2,1425.9,1436.5,1022164
3002,出来高急増テック,2026-08-04,1437.7,1443.7,1427.6,1432.6,899663
3002,出来高急増テック,2026-08-05,1434.5,1439.8,1420.3,1428.7,817717
3002,出来高急増テック,2026-08-06,1431.5,1446.6,1422.2,1438.9,979643
3002,出来高急増テック,2026-08-07,1440.4,1449.4,1423.1,1436.3,968117
3002,出来高急増テック,2026-08-10,1432.1,1449.7,1423.8,1438.4,874163
3002,出来高急増テック,2026-08-11,1437.0,1442.4,1426.3,1434.6,933493
3002,出来高急増テック,2026-08-12,1431.6,1438.9,1419.3,1428.6,1123375
3002,出来高急増テック,2026-08-13,1426.3,1437.0,1416.4,1425.7,939897
3002,出来高急増テック,2026-08-14,1420.9,1438.5,1410.9,1424.9,922625
3002,出来高急増テック,2026-08-17,1426.4,1437.7,1410.8,1424.1,840036
3002,出来高急増テック,2026-08-18,1421.2,1433.8,1415.7,1423.9,925823
3002,出来高急増テック,2026-08-19,1424.7,1431.2,1416.5,1421.4,1094619
3002,出来高急増テック,2026-08-20,1422.6,1431.4,1416.9,1425.3,828104
3002,出来高急増テック,2026-08-21,1485.2,1575.3,1471.3,1552.0,3722087
4001,低流動性テスト,2026-06-29,818.3,844.6,801.6,818.2,64625
4001,低流動性テスト,2026-06-30,819.0,844.9,804.8,822.9,61498
4001,低流動性テスト,2026-07-01,822.6,837.4,807.5,821.0,57804
4001,低流動性テスト,2026-07-02,824.2,846.4,811.9,828.8,49105
4001,低流動性テスト,2026-07-03,826.6,838.1,807.1,827.5,59340
4001,低流動性テスト,2026-07-06,825.9,842.6,802.7,824.7,59435
4001,低流動性テスト,2026-07-07,823.6,850.5,808.9,826.2,53113
4001,低流動性テスト,2026-07-08,825.0,838.9,801.3,824.9,55074
4001,低流動性テスト,2026-07-09,825.1,847.2,809.8,826.9,58530
4001,低流動性テスト,2026-07-10,823.7,843.9,801.6,827.0,66119
4001,低流動性テスト,2026-07-13,828.1,843.0,803.4,824.0,52089
4001,低流動性テスト,2026-07-14,823.6,843.8,810.5,821.7,73552
4001,低流動性テスト,2026-07-15,821.4,836.0,802.7,825.8,66030
4001,低流動性テスト,2026-07-16,828.5,845.2,804.1,828.9,61756
4001,低流動性テスト,2026-07-17,825.8,838.9,807.9,825.7,61602
4001,低流動性テスト,2026-07-20,829.0,841.8,806.6,828.0,55357
4001,低流動性テスト,2026-07-21,824.8,845.8,804.5,822.0,69581
4001,低流動性テスト,2026-07-22,825.1,854.6,810.8,828.0,55924
4001,低流動性テスト,2026-07-23,831.2,848.0,808.5,831.6,55836
4001,低流動性テスト,2026-07-24,834.7,850.8,819.8,832.9,71149
4001,低流動性テスト,2026-07-27,831.5,848.6,812.1,834.4,66384
4001,低流動性テスト,2026-07-28,835.9,851.8,816.6,831.2,61756
4001,低流動性テスト,2026-07-29,830.9,850.1,813.8,833.5,56307
4001,低流動性テスト,2026-07-30,836.6,852.6,814.4,832.2,67639
4001,低流動性テスト,2026-07-31,831.0,850.7,813.6,826.8,50963
4001,低流動性テスト,2026-08-03,829.8,849.1,812.8,834.0,54864
4001,低流動性テスト,2026-08-04,831.1,849.0,816.9,827.0,61900
4001,低流動性テスト,2026-08-05,824.1,846.1,808.4,827.7,65887
4001,低流動性テスト,2026-08-06,824.7,840.6,795.3,823.9,53506
4001,低流動性テスト,2026-08-07,826.3,851.7,809.3,824.2,51966
4001,低流動性テスト,2026-08-10,823.0,839.5,795.5,824.4,51286
4001,低流動性テスト,2026-08-11,822.8,837.1,801.2,818.1,64230
4001,低流動性テスト,2026-08-12,820.3,835.5,805.5,818.8,66267
4001,低流動性テスト,2026-08-13,817.1,831.8,792.2,812.7,57647
4001,低流動性テスト,2026-08-14,810.8,825.7,795.3,810.5,65471
4001,低流動性テスト,2026-08-17,813.0,836.2,795.3,814.9,62866
4001,低流動性テスト,2026-08-18,814.9,829.6,795.6,818.5,72658
4001,低流動性テスト,2026-08-19,819.7,844.2,802.4,823.5,67796
4001,低流動性テスト,2026-08-20,821.3,844.3,799.4,817.3,60411
4001,低流動性テスト,2026-08-21,819.5,840.2,797.8,818.8,59769
